2023-01-15 01:58:55.945 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.20.Final
2023-01-15 01:58:55.948 [main] INFO  c.mashang.xiaomishopping.XiaomiShoppingApplication - Starting XiaomiShoppingApplication using Java 18.0.1.1 on MARGUERITE with PID 31996 (C:\Users\yorky\Desktop\STUDY\Java\xiaomi-shopping\target\classes started by yorky in C:\Users\yorky\Desktop\STUDY\Java\xiaomi-shopping)
2023-01-15 01:58:55.949 [main] DEBUG c.mashang.xiaomishopping.XiaomiShoppingApplication - Running with Spring Boot v2.7.4, Spring v5.3.23
2023-01-15 01:58:55.949 [main] INFO  c.mashang.xiaomishopping.XiaomiShoppingApplication - No active profile set, falling back to 1 default profile: "default"
2023-01-15 01:58:56.947 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-01-15 01:58:56.954 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-01-15 01:58:56.954 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-01-15 01:58:56.954 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-01-15 01:58:57.035 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/xiaomi] - Initializing Spring embedded WebApplicationContext
2023-01-15 01:58:57.036 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1037 ms
2023-01-15 01:58:57.833 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2023-01-15 01:58:57.847 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/xiaomi'
2023-01-15 01:58:58.089 [main] INFO  c.mashang.xiaomishopping.XiaomiShoppingApplication - Started XiaomiShoppingApplication in 2.428 seconds (JVM running for 3.176)
